program,type,directed,batch,nodes,modifier,diameter,time,clocktime,system,percent,memory,voluntary,involuntary,faults,exit
gl,er,0,1,10,32,0,0.021422,2.87405,0.18,923%,38204,977,462,0,0
gtp,er,0,1,10,32,,,,0.11,78%,62652,51,143,0,0
glp,er,0,1,10,32,0,1.59689,87.8989,2.32,4006%,22060,63801,51486,0,0
nx,er,1,1,10,32,,,,0.45,57%,26244,97,58,0,1
gl,er,1,1,10,32,0,0.008227,2.27899,0.12,896%,20404,958,553,0,0
gtp,er,1,1,10,32,,,,0.12,77%,62644,49,159,0,0
glp,er,1,1,10,32,0,1.36931,78.0055,2.16,4020%,20960,63469,49939,0,0
nx,er,0,2,10,32,,,,0.51,61%,26244,100,80,0,1
gl,er,0,2,10,32,0,0.076165,4.92947,0.15,1137%,19968,1029,685,0,0
gtp,er,0,2,10,32,,,,0.17,78%,62652,52,167,0,0
glp,er,0,2,10,32,0,1.30794,74.0869,1.81,4014%,21996,62808,47747,0,0
nx,er,1,2,10,32,,,,0.41,54%,26244,120,65,0,1
gl,er,1,2,10,32,0,0.008633,0.747469,0.11,675%,21572,958,521,0,0
gtp,er,1,2,10,32,,,,0.13,77%,62636,53,173,0,0
glp,er,1,2,10,32,0,1.4508,82.2491,1.97,4051%,20684,62637,51266,0,0
nx,er,0,3,10,32,,,,0.49,55%,26244,109,35,0,1
gl,er,0,3,10,32,0,0.029882,3.37667,0.13,953%,37804,1007,539,0,0
gtp,er,0,3,10,32,,,,0.13,78%,62648,51,160,0,0
glp,er,0,3,10,32,0,1.40039,77.2343,2.09,4086%,21892,62317,49185,0,0
nx,er,1,3,10,32,,,,0.49,59%,26244,99,69,0,1
gl,er,1,3,10,32,0,0.008453,1.49151,0.14,738%,21584,966,648,0,0
gtp,er,1,3,10,32,,,,0.16,77%,62636,52,156,0,0
glp,er,1,3,10,32,0,1.74591,95.4629,2.25,4136%,24596,64014,48624,0,0
nx,er,0,4,10,32,,,,0.41,62%,26240,73,157,0,1
gl,er,0,4,10,32,0,0.013744,2.39203,0.26,855%,27728,1070,795,0,0
gtp,er,0,4,10,32,,,,0.17,77%,62652,55,159,0,0
glp,er,0,4,10,32,0,1.40262,80.3747,1.97,3888%,26072,63219,46698,0,0
nx,er,1,4,10,32,,,,0.40,54%,26244,120,83,0,1
gl,er,1,4,10,32,0,0.033917,4.02788,0.20,1123%,33568,902,460,0,0
gtp,er,1,4,10,32,,,,0.14,78%,62644,46,126,0,0
glp,er,1,4,10,32,0,1.37174,78.9898,2.07,4056%,21988,62637,49125,0,0
nx,er,0,0,100,2,7,0.0233860015869,0.019181,0.10,86%,26860,14,57,0,0
gl,er,0,0,100,2,7,0.296354,2.81644,0.47,826%,20292,14125,1794,0,0
gtp,er,0,0,100,2,7.0,0.00036883354187,0.000367,0.19,99%,63136,53,202,0,0
glp,er,0,0,100,2,6,0.290637,10.4279,0.57,1705%,24944,14417,5927,0,0
snp,er,0,0,100,2,5,0.000158071517944,0.000172,0.04,98%,31580,2,22,0,0
nx,er,1,0,100,2,0,3.91006469727e-05,4.4e-05,0.08,55%,26888,20,81,0,0
gl,er,1,0,100,2,13,0.469798,2.39585,0.71,1005%,20904,22139,2651,0,0
gtp,er,1,0,100,2,11.0,0.000393867492676,0.000389,0.14,98%,63132,53,158,0,0
glp,er,1,0,100,2,11,0.612038,19.721,0.86,2194%,22112,25287,11657,0,0
snp,er,1,0,100,2,12,0.000118970870972,0.000133,0.03,99%,31596,1,27,0,0
nx,er,0,1,100,2,7,0.0231370925903,0.023088,0.14,90%,26864,6,45,0,0
gl,er,0,1,100,2,7,0.304561,3.01938,0.55,899%,22344,14019,1393,0,0
gtp,er,0,1,100,2,6.0,0.000335931777954,0.000334,0.14,99%,63140,52,126,0,0
glp,er,0,1,100,2,6,0.278395,10.2643,0.56,2088%,24740,14438,6329,0,0
snp,er,0,1,100,2,5,0.000149011611938,0.000163,0.03,98%,31580,1,27,0,0
nx,er,1,1,100,2,0,4.79221343994e-05,4.69999999995e-05,5.09,53%,26888,8,770,0,0
